For M5|Adr    81|KD1      118      13:54:101   3|Rf        1.48423 m   |HD         21.939 m   |                      | 
For M5|Adr    82|KD1      118      13:54:10    3|                      |                      |Z        -0.90904 m   | 
For M5|Adr    83|KD1      118      13:56:011   3|Rb        0.81325 m   |HD         19.626 m   |                      | 
For M5|Adr    84|KD1      119      13:58:111   3|Rf        1.65984 m   |HD         19.731 m   |                      | 
For M5|Adr    85|KD1      119      13:58:11    3|                      |                      |Z        -1.75563 m   | 
For M5|Adr    86|KD1      119      14:00:571   3|Rb        0.09431 m   |HD         13.905 m   |                      | 
For M5|Adr    87|KD1      120      14:01:481   3|Rf        1.69882 m   |HD          9.757 m   |                      | 
For M5|Adr    88|KD1      120      14:01:48    3|                      |                      |Z        -3.36014 m   | 
For M5|Adr    89|KD1      120      14:03:101   3|Rb        0.14003 m   |HD         27.681 m   |                      | 
For M5|Adr    90|KD1      121      14:04:281   3|Rf        1.63282 m   |HD         32.461 m   |                      | 
For M5|Adr    91|KD1      121      14:04:28    3|                      |                      |Z        -4.85293 m   | 
For M5|Adr    92|KD1      121      14:06:171   3|Rb        1.19728 m   |HD         41.064 m   |                      | 
For M5|Adr    93|KD1      rp1      14:08:091   3|Rf        1.20921 m   |HD         60.056 m   |                      | 
For M5|Adr    94|KD1      rp1      14:08:09    3|                      |                      |Z        -4.86486 m   | 
For M5|Adr    95|KD1      rp1      14:09:091   3|Rb        0.90878 m   |HD         52.334 m   |                      | 
For M5|Adr    96|TO  Intermediate sight.       3|                      |                      |                      | 
For M5|Adr    97|KD1    10101      14:10:231   3|Rz        0.82256 m   |HD          3.697 m   |Z        -4.77864 m   | 
For M5|Adr    98|TO  End of interm. sight.     3|                      |                      |                      | 
For M5|Adr    99|KD1      123      14:12:361   3|Rf        1.02656 m   |HD         46.710 m   |                      | 
For M5|Adr   100|KD1      123      14:12:36    3|                      |                      |Z        -4.98264 m   | 
For M5|Adr   101|KD1      123      14:14:211   3|Rb        1.65417 m   |HD         16.576 m   |                      | 
For M5|Adr   102|KD1      RP2      14:15:061   3|Rf        0.94928 m   |HD         18.797 m   |                      | 
For M5|Adr   103|KD1      RP2      14:15:06    3|                      |                      |Z        -4.27775 m   | 
For M5|Adr   104|KD1      RP2      14:15:111   3|Rb        0.94916 m   |HD         18.804 m   |                      | 
For M5|Adr   105|KD1      125      14:16:281   3|Rf        1.21825 m   |HD         24.678 m   |                      | 
For M5|Adr   106|KD1      125      14:16:28    3|                      |                      |Z        -4.54684 m   | 
For M5|Adr   107|KD1      125      14:18:101   3|Rb        1.86405 m   |HD         12.413 m   |                      | 
For M5|Adr   108|KD1      126      14:19:321   3|Rf        0.66955 m   |HD         11.257 m   |                      | 
For M5|Adr   109|KD1      126      14:19:32    3|                      |                      |Z        -3.35234 m   | 
For M5|Adr   110|KD1      126      14:20:371   3|Rb        1.66340 m   |HD         10.386 m   |                      | 
For M5|Adr   111|KD1      127      14:21:211   3|Rf        0.53775 m   |HD         14.614 m   |                      | 
For M5|Adr   112|KD1      127      14:21:21    3|                      |                      |Z        -2.22669 m   | 
For M5|Adr   113|KD1      127      14:22:191   3|Rb        1.74516 m   |HD         14.928 m   |                      | 
For M5|Adr   114|KD1      128      14:23:481   3|Rf        0.29431 m   |HD         16.965 m   |                      | 
For M5|Adr   115|KD1      128      14:23:48    3|                      |                      |Z        -0.77584 m   | 
For M5|Adr   116|KD1      128      14:25:261   3|Rb        1.43290 m   |HD         13.217 m   |                      | 
For M5|Adr   117|KD1      129      14:26:561   3|Rf        0.99102 m   |HD         28.373 m   |                      | 
For M5|Adr   118|KD1      129      14:26:56    3|                      |                      |Z        -0.33396 m   | 
For M5|Adr   119|KD1      129      14:28:481   3|Rb        1.62510 m   |HD          6.598 m   |                      | 
For M5|Adr   120|KD1        1      14:29:411   3|Rf        1.29189 m   |HD          2.353 m   |                      | 
For M5|Adr   121|KD1        1      14:29:41    3|                      |                      |Z        -0.00075 m   | 
For M5|Adr   122|KD1        1                  3|Sh       -0.00075 m   |dz        0.00075 m   |Z         0.00000 m   | 
For M5|Adr   123|KD2        1       30         3|Db         384.80 m   |Df         421.51 m   |Z        -0.00075 m   | 
For M5|Adr   124|TO  End-Line                  3|                      |                      |                      | 
For M5|Adr   125|TO  Start-Line         BF     4|                      |                      |                      | 
For M5|Adr   126|KD1      RPp                  4|                      |                      |Z       143.07480 m   | 
For M5|Adr   127|KD1      RPp      15:39:171   4|Rb        1.22813 m   |HD         21.495 m   |                      | 
For M5|Adr   128|KD1      RP2      15:40:101   4|Rf        0.90789 m   |HD         19.966 m   |                      | 
For M5|Adr   129|KD1      RP2      15:40:10    4|                      |                      |Z       143.39504 m   | 
For M5|Adr   130|KD1      RP2      15:43:221   4|Rb        0.68086 m   |HD          9.716 m   |                      | 
For M5|Adr   131|KD1      RP3      15:44:261   4|Rf        0.97100 m   |HD         13.283 m   |                      | 
For M5|Adr   132|KD1      RP3      15:44:26    4|                      |                      |Z       143.10490 m   | 
For M5|Adr   133|KD1      RP3      15:46:061   4|Rb        0.97095 m   |HD         13.278 m   |                      | 
For M5|Adr   134|KD1      RP4      15:46:371   4|Rf        1.09927 m   |HD         21.541 m   |                      | 
For M5|Adr   135|KD1      RP4      15:46:37    4|                      |                      |Z       142.97658 m   | 
For M5|Adr   136|KD1      RP4      15:48:141   4|Rb        1.19046 m   |HD         30.619 m   |                      | 
For M5|Adr   137|KD1      RP1      15:49:321   4|Rf        1.09322 m   |HD         28.241 m   |                      | 
For M5|Adr   138|KD1      RP1      15:49:32    4|                      |                      |Z       143.07382 m   | 
For M5|Adr   139|KD1      RP1                  4|Sh       -0.00098 m   |dz        4.00098 m   |Z       147.07480 m   | 
For M5|Adr   140|KD2      RP1        4         4|Db          75.11 m   |Df          83.03 m   |Z       143.07382 m   | 
For M5|Adr   141|TO  End-Line                  4|                      |                      |                      | 
For M5|Adr   142|TO  Start-Line         BF     5|                      |                      |                      | 
For M5|Adr   143|KD1      rp1                  5|                      |                      |Z       143.07480 m   | 
For M5|Adr   144|KD1      rp1      15:52:291   5|Rb        1.26052 m   |HD         21.086 m   |                      | 
